gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3407932435	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72763680	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.267912	1.985255	65.0						2021-04-03T10:47:39	3	4	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	72763680		thegreenfrog08	2021-04-03T16:34:10	CC_BY_NC_4_0	thegreenfrog08	thegreenfrog08			2021-11-18T00:02:52.685Z	StillImage	COORDINATE_ROUNDED
3399320164	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/99324500	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.735297	145.075068	8.0						2021-10-25T19:28:54	25	10	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	99324500		Michael Cincotta	2021-10-25T10:21:39	CC_BY_NC_4_0	cavalierqueen	cavalierqueen			2021-11-17T23:48:20.260Z	StillImage	COORDINATE_ROUNDED
3399297117	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/99326614	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.73319	145.073712	8.0						2021-10-25T20:06:40	25	10	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	99326614		Michael Cincotta	2021-10-25T10:18:17	CC_BY_NC_4_0	cavalierqueen	cavalierqueen			2021-11-18T00:03:39.209Z	StillImage	COORDINATE_ROUNDED
3391298073	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97959131	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.667811	145.18799	5.0						2021-10-12T11:26:26	12	10	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	97959131		finknottle	2021-10-12T05:33:09	CC_BY_NC_4_0	inatralist_5	inatralist_5			2021-11-18T00:03:40.382Z	StillImage	COORDINATE_ROUNDED
3384708609	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/95592303	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.823694	135.853884	122.0						2021-09-15T13:18:00	15	9	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	95592303		Chris Seager	2021-09-20T22:50:45	CC_BY_NC_4_0	Chris Seager	Chris Seager			2021-11-17T23:25:08.856Z	StillImage	COORDINATE_ROUNDED
3384487318	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97236988	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.632128	134.902071	205.0						2021-09-29T16:04:33	29	9	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	97236988		titreeren	2021-10-05T12:31:53	CC_BY_NC_4_0	titreeren	titreeren			2021-11-17T23:25:27.539Z	StillImage	COORDINATE_ROUNDED
3384330680	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94648161	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.807967	138.037858							2021-09-09T12:25:37	9	9	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	94648161		Keagan Porter	2021-09-12T23:14:36	CC_BY_NC_4_0	Keagan Porter	Keagan Porter			2021-11-18T00:03:30.587Z	StillImage	COORDINATE_ROUNDED
3384000054	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/95005731	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.152364	138.139071	37.0						2021-09-09T13:21:00	9	9	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	95005731		shanes	2021-09-16T04:41:56	CC_BY_NC_4_0	shanes	shanes			2021-11-18T00:03:27.504Z	StillImage	COORDINATE_ROUNDED
3383982863	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94800037	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.887733	145.154922	22.0						2021-09-14T16:57:12	14	9	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	94800037		maxi1975	2021-09-14T08:33:58	CC_BY_NC_4_0	maxi1975	maxi1975			2021-11-17T23:47:07.098Z	StillImage	COORDINATE_ROUNDED
3355672675	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/93413681	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.452025	137.985533	4.0						2021-08-30T16:51:53	30	8	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	93413681		Asimakis Patitsas	2021-09-02T22:15:09	CC_BY_NC_4_0	kentishlass	kentishlass			2021-11-17T23:46:48.963Z	StillImage	COORDINATE_ROUNDED
3355129874	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/93548728	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Hibiscus huegelii		SPECIES	Alyogyne huegelii (Endl.) Fryxell	Alyogyne huegelii		AU		South Australia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.557283	135.320655	16.0						2021-09-03T16:47:15	3	9	2021	3940985	7279068	HUMAN_OBSERVATION	iNaturalist	Observations	93548728		Asimakis Patitsas	2021-09-04T10:34:21	CC_BY_NC_4_0	nealed	nealed			2021-11-18T00:03:23.921Z	StillImage	COORDINATE_ROUNDED
