gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3350101021	d8cd16ba-bb74-4420-821e-083f2bac17c2	JF698264	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei		AU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													4105291	4105291	PRESERVED_SPECIMEN			Peterson 14292, Soreng, Rosenberg & MacFarlane (US)				CC_BY_4_0					2021-09-23T14:12:35.884Z		
3348644954	d8cd16ba-bb74-4420-821e-083f2bac17c2	LR989221	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei		AU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2003-11-12T00:00:00	12	11	2003	4105291	4105291	PRESERVED_SPECIMEN			L. Lumbus (HAL)				CC_BY_4_0					2021-09-23T14:11:55.546Z		
3348581532	d8cd16ba-bb74-4420-821e-083f2bac17c2	LR989223	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei		AU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2007-12-03T00:00:00	3	12	2007	4105291	4105291	PRESERVED_SPECIMEN			S.W.L. Jacobs 9748 & M.E. Barkworth (NSW832528)				CC_BY_4_0					2021-09-23T14:11:55.509Z		
3348460585	d8cd16ba-bb74-4420-821e-083f2bac17c2	LR989224	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei		AU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2007-12-01T00:00:00	1	12	2007	4105291	4105291	PRESERVED_SPECIMEN			S.W.L. Jacobs 9740 & M.E. Barkworth (HAL0110785)				CC_BY_4_0					2021-09-23T14:12:46.687Z		
3347087981	d8cd16ba-bb74-4420-821e-083f2bac17c2	KC129565	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei		AU	Victoria, LM, Western Little Desert National Park		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-36.580002	141.080002							1986-11-16T00:00:00	16	11	1986	4105291	4105291	PRESERVED_SPECIMEN			iJ58				CC_BY_4_0		Beauglehole, A.C.			2021-09-23T14:11:33.066Z		GEODETIC_DATUM_ASSUMED_WGS84
3346820117	d8cd16ba-bb74-4420-821e-083f2bac17c2	JF769111	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei		AU	Western Australia, AV, Beside the Brand Hwy, 2 km S of Cataby		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-30.77	115.57							2001-11-27T00:00:00	27	11	2001	4105291	4105291	PRESERVED_SPECIMEN			iJ60				CC_BY_4_0		Walsh, N.G.			2021-09-23T14:12:35.831Z		GEODETIC_DATUM_ASSUMED_WGS84
3130928449	37beb6ea-e591-41e3-b781-e384250dc42c	f2dffb85-c307-4251-b043-6e37b6db0756	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei	(Reader) S.W.L.Jacobs & J.Everett	AU	677886ACentre about 4 km N of TOOAN EAST	Victoria	PRESENT	1	a4ee8241-94f8-40b8-8c47-31aaf9430c90	-36.74852	141.83468	4000.0						1968-11-24T00:00:00	24	11	1968	4105291	4105291	PRESERVED_SPECIMEN			214162				CC_BY_NC_4_0					2021-10-17T11:01:28.655Z		COORDINATE_ROUNDED
3130909987	37beb6ea-e591-41e3-b781-e384250dc42c	eb8c7167-b77a-4ed1-a45e-d854549bd2f4	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei	(Reader) S.W.L.Jacobs & J.Everett	AU	547930ACentre about 10 km SSE of LILLIMUR SOUTH	Victoria	PRESENT	1	a4ee8241-94f8-40b8-8c47-31aaf9430c90	-36.5152	141.18468	4000.0						1975-11-02T00:00:00	2	11	1975	4105291	4105291	PRESERVED_SPECIMEN			180062				CC_BY_NC_4_0					2021-10-17T11:06:18.724Z		COORDINATE_ROUNDED
3130846731	37beb6ea-e591-41e3-b781-e384250dc42c	ec95d4e0-1a29-412a-96c2-d68ab1e9f2dd	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei	(Reader) S.W.L.Jacobs & J.Everett	AU	1511546ACentre about 4 km ESE of MITRE	Victoria	PRESENT	1	a4ee8241-94f8-40b8-8c47-31aaf9430c90	-36.74852	141.81801	4000.0						1968-11-23T00:00:00	23	11	1968	4105291	4105291	PRESERVED_SPECIMEN			26694				CC_BY_NC_4_0					2021-10-17T11:05:53.235Z		COORDINATE_ROUNDED
3130803131	37beb6ea-e591-41e3-b781-e384250dc42c	cf3c5955-7a6f-4f55-b709-a01e836045d5	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Austrostipa	Austrostipa macalpinei		SPECIES	Austrostipa macalpinei (Reader) S.W.L.Jacobs & J.Everett	Austrostipa macalpinei	(Reader) S.W.L.Jacobs & J.Everett	AU	1511548ACentre about 6 km N of DUNKELD	Victoria	PRESENT	1	a4ee8241-94f8-40b8-8c47-31aaf9430c90	-37.59852	142.33469	4000.0						1968-12-30T00:00:00	30	12	1968	4105291	4105291	PRESERVED_SPECIMEN			26696				CC_BY_NC_4_0					2021-10-17T11:08:05.414Z		COORDINATE_ROUNDED
