"dataResourceUid","images","raw_recordedBy","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","associatedOccurrences","previousIdentifications","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimDepth","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLatitude","verbatimLongitude","verbatimLongitude","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimSRS","footprintSRS","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","verbatimBasisOfRecord","measurementDeterminedDate","videos","species","measurementRemarks","measurementValue","relationshipRemarks","identifierRole","relationshipOfResource","measurementMethod","provenance","sounds","recordID","rights","source","verbatimScientificName","verbatimContinent","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","images","dcterms:type"
"dr1097","","","","","CC-BY 4.0 (Int)","","","","","","","","","","","","HUMAN_OBSERVATION","","","","","5778074","","","","","braunBlanquetScale","","","","","","PRESENT","","","","","","","","","","","","","","965857","","","2004-02-04T13:00:00Z","","2004","2","5","","","Monitoring","","","","","","637929","","","","","","Australia","AU","Victoria","","","Brumby Point TrackApproximately 1.5 km west from the point where the track ends at Brumby Point","","1437.0","1437.0","","","","","","","","","-37.05678999909237","148.06237","EPSG:4326","50.0","","","-37.05679","","148.06237","","epsg:4283","","","","","","","","","","","","","","","","Acceptable","","","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","d6c0ecda-6734-4476-82b8-162e1c8a708f","","","Actinotus forsythii","","","","","","","","","Event"
"dr1411","","tom_brennan","2021-05-09T14:00:57Z","","CC-BY-NC 4.0 (Int)","tom_brennan","","","https://www.inaturalist.org/observations/78042032","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/78042032","78042032","","","","","","","","flowering","","","PRESENT","","","","","","","","","","","b669a3b5-1760-47e3-99cd-af97343815dc|620198b0-39b0-43b7-a3d6-9f2e60242c2c|a7e95fdb-5e11-45d1-9a2d-a050aab9f1c3|1458b700-32b8-47a5-b208-fe3a5b601612|3a799c3b-7dfa-49e9-9d90-32d7663935d7","","","","","","2020-12-12T03:35:00Z","03:35:00Z","2020","12","12","2020/12/12 2:35 PM AEDT","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Newnes NSW 2790, Australia","","","","","","","","","","","-33.185008","150.199336","EPSG:4326","","","","-33.1850083","","150.199336","","EPSG:4326","","","","","","","","","","173225746","","","tom_brennan","2021-05-09T11:37:17Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","057ed5ed-3bf6-4fd4-9098-e6dfb6fd4934","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","Tim","2021-04-06T03:19:23Z","","CC-BY 4.0 (Int)","Tim","","","https://www.inaturalist.org/observations/73078421","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/73078421","73078421","","Tim","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2021-03-15T05:10:00Z","05:10:00Z","2021","3","15","2021/03/15 4:10 PM AEDT","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Blue Mountains NSW, Australia","","","","","","","","","","","-33.732298","150.283365","EPSG:4326","54.0","","","-33.7322984252","","150.2833646577","","EPSG:4326","","","","","","","","","","163646837","","","Tim","2021-04-06T02:54:16Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","92024c45-b8e7-4951-bf9b-4a432eabe2fd","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","Guy Taseski","2021-04-06T15:49:50Z","","CC-BY 4.0 (Int)","Guy Taseski","","","https://www.inaturalist.org/observations/72634488","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/72634488","72634488","","Taseski, Guy","","","","","","","","","PRESENT","","","","","","","","","","","d24f19da-d773-4dee-a818-c22511c0b85a","","","","","","","02:56:06Z","2021","3","31","Wed Mar 31 2021 13:56:06 GMT+1100 (GMT+11)","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Glenraphael Drive, Katoomba, NSW, AU","","","","","","","","","","","-33.730787","150.286317","EPSG:4326","6.0","","","-33.7307866667","","150.2863166667","","EPSG:4326","","","","","","","","","","162738621","","","Guy Taseski","2021-04-01T21:09Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","c3fc49e2-b335-4812-a768-fced8682a1b4","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","Chris Jonkers","2021-02-24T20:00:12Z","","CC-BY-NC 4.0 (Int)","Chris Jonkers","","","https://www.inaturalist.org/observations/66864713","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/66864713","66864713","","Jonkers, Chris","","","","","","flowering|flower budding","","","PRESENT","","","","","","","","","","","","","","","","","2020-12-21T01:24:00Z","01:24:00Z","2020","12","21","2020/12/21 12:24 PM AEDT","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Newnes State Forest NSW 2790, Australia","","","","","","","","","","","-33.420923","150.229898","EPSG:4326","","","","-33.4209232997","","150.2298983997","","EPSG:4326","","","","","","","","","","147015072","","","Chris Jonkers","2020-12-21T05:32:48Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","0ae4dcbc-f945-4064-998c-93d7443c6e3c","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","Chris Jonkers","2021-03-02T01:02:38Z","","CC-BY-NC 4.0 (Int)","Chris Jonkers","","","https://www.inaturalist.org/observations/70419722","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/70419722","70419722","","Jonkers, Chris","","","","","","","","","PRESENT","","","","","","","","Small population near a large pagoda. First record for Ben Bullen State Forest. More common at Cape Horn (Wolgan State Forest) 2km to the north-east.","","","","","","","","","2021-03-01T01:22:00Z","01:22:00Z","2021","3","1","2021/03/01 12:22 PM AEDT","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Ben Bullen State Forest NSW 2790, Australia","","","","","","","","","","","-33.254663","150.098075","EPSG:4326","20.0","","","-33.2546628056","","150.0980753056","","EPSG:4326","","","","","","","","","","157329795","","","Chris Jonkers","2021-03-01T23:54:49Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","e592151f-848a-4bf0-a504-c070cd1fd1a5","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","tobyyy","2021-03-14T15:13:16Z","","CC-BY-SA 4.0 (Int)","tobyyy","","","https://www.inaturalist.org/observations/71185601","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/71185601","71185601","","Tobyyy","","","","","","flowering","","","PRESENT","","","","","","","","","","","36a1b325-e398-4a38-a744-8d8420b8e9a8","","","","","","2021-03-13T03:10:00Z","03:10:00Z","2021","3","13","2021/03/13 2:10 PM AEDT","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Blue Mountains, NSW, Australia","","","","","","","","","","","-33.55602","150.277872","EPSG:4326","","","","-33.55602","","150.2778716667","","EPSG:4326","","","","","","","","","","159364011","","","tobyyy","2021-03-14T03:01:48Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","ab91365e-5dcd-4a43-92bb-e973e479c4f9","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","laurenwright9","2021-03-09T05:19Z","","CC-BY-NC 4.0 (Int)","laurenwright9","","","https://www.inaturalist.org/observations/70858397","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/70858397","70858397","","laurenwright9","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","01:38:02Z","2021","3","9","Tue Mar 09 2021 12:38:02 GMT+1100 (GMT+11)","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Cliff Drive, Katoomba, NSW, AU","","","","","","","","","","","-33.730595","150.28685","EPSG:4326","5.0","","","-33.730595","","150.28685","","EPSG:4326","","","","","","","","","","158536249","","","laurenwright9","2021-03-09T04:31:22Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","e9897454-adb0-4e4c-8e7a-a57744b57f70","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","Yoel ""Joe"" Jeremy","2021-04-02T10:46:33Z","","CC-BY-NC-ND 4.0 (Int)","Yoel ""Joe"" Jeremy","","","https://www.inaturalist.org/observations/72669978","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/72669978","72669978","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","2021-03-25T21:56:00Z","21:56:00Z","2021","3","26","2021/03/26 8:56 AM AEDT","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Kings Tableland, New South Wales 2787, Australia","","","","","","","","","","","-33.857566","150.396373","EPSG:4326","1801.0","","","-33.8575661","","150.3963732","","EPSG:4326","","","","","","","","","","162815755","","","Yoel ""Joe"" Jeremy","2021-04-02T08:09:57Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","2c561b2d-6faa-4561-80e6-bff355a71ba7","","","Actinotus forsythii","","","","","","","","",""
"dr1411","","Helen Drewe","2021-02-24T20:03:49Z","","CC-BY-NC 4.0 (Int)","Helen Drewe","","","https://www.inaturalist.org/observations/50521694","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/50521694","50521694","","Drewe, Helen","","","","","","no evidence of flowering","","","PRESENT","","","","","","","","Post-December 2019 bushfire","","","","","","","","","2020-06-18T14:00:00Z","","2020","6","19","2020-06-19","","","","","","","","","","","","","","Australia","AU","New South Wales","","","","Lithgow, AU-NS, AU","","","","","","","","","","","-33.509828","150.140801","EPSG:4326","28957.0","","","-33.5098283898","","150.1408005437","","EPSG:4326","","","","","","","","","","112035290","","","Helen Drewe","2020-06-22T06:14:25Z","","research","","629106","","","https://id.biodiversity.org.au/node/apni/2916305","Actinotus forsythii","","","","","","","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Actinotus","","","","species","","Maiden & Betche","Pink Flannel Flower","","","","","HumanObservation","","","Actinotus forsythii","","","","","","","","","71e9e4ce-e1a6-4da3-bf65-0cc01bf870d5","","","Actinotus forsythii","","","","","","","","",""
