gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3384441049	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/96026510	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) J.H.Willis	Apalochlamys spectabilis		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.307747	144.680011	102.0						2021-09-25T09:06:05	25	9	2021	7995568	7995568	HUMAN_OBSERVATION	iNaturalist	Observations	96026510		jo_t	2021-09-25T00:13:39	CC_BY_NC_4_0	jo_t	jo_t			2021-11-17T23:25:18.677Z	StillImage	COORDINATE_ROUNDED
3384302286	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94076172	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) J.H.Willis	Apalochlamys spectabilis		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.383304	144.78439	43.0						2021-09-03T07:25:00	3	9	2021	7995568	7995568	HUMAN_OBSERVATION	iNaturalist	Observations	94076172		emilyshea	2021-09-08T04:31:13	CC_BY_NC_4_0	emilyshea	emilyshea			2021-11-18T00:03:24.027Z	StillImage	COORDINATE_ROUNDED
3362054409	4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4	627a71c1-e5da-4192-bc74-d7b28ac4472a	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) Steud.	Apalochlamys spectabilis	(Labill.) Steud.	AU	Hutchinson's property, Gorae West, Portland.	Victoria	PRESENT		1deb09e1-ded6-469a-a46e-f6329cb03b6a	-38.28	141.54	5000.0						1955-01-22T00:00:00	22	1	1955	3104065	7995568	PRESERVED_SPECIMEN	MEL	MEL	MEL 2423039A	1010	Karunajeewa, N.G.	2017-11-06T00:00:00	CC_BY_4_0	Royal Botanic Gardens Board	Beauglehole, A.C.			2021-11-11T12:34:18.276Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3347136814	d8cd16ba-bb74-4420-821e-083f2bac17c2	JQ956840	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) J.H.Willis	Apalochlamys spectabilis					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													7995568	7995568	PRESERVED_SPECIMEN			Barnsley 1488				CC_BY_4_0					2021-09-23T14:13:10.473Z		
3337036352	1e98cc26-065e-40ca-9c57-20fa0a2f4981	https://pi.jacq.org/PI044091	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys billardierii DC.	Apalochlamys billardierei DC.			[sine loco]		PRESENT		c1b1455b-18ec-4637-9e0f-18cb0524b7ed													3104070	7995568	PRESERVED_SPECIMEN	PI	Herbarium Horti Botanici Pisani (PI)	044091		G. Savi s.d.		CC_BY_4_0		Savi,G.			2021-11-20T20:04:47.489Z	StillImage	TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3337036339	1e98cc26-065e-40ca-9c57-20fa0a2f4981	https://pi.jacq.org/PI044092	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys billardierii DC.	Apalochlamys billardierei DC.			[sine loco]		PRESENT		c1b1455b-18ec-4637-9e0f-18cb0524b7ed													3104070	7995568	PRESERVED_SPECIMEN	PI	Herbarium Horti Botanici Pisani (PI)	044092		G. Savi s.d.		CC_BY_4_0		Savi,G.			2021-11-20T20:04:47.488Z	StillImage	TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3325827912	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/85597044	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) J.H.Willis	Apalochlamys spectabilis		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.307564	144.68045	19.0						2021-07-04T15:40:00	4	7	2021	7995568	7995568	HUMAN_OBSERVATION	iNaturalist	Observations	85597044		Jenny Lawrence	2021-07-04T13:10:56	CC_BY_4_0	Andrew Allen	Andrew Allen			2021-11-17T23:23:12.358Z	StillImage	COORDINATE_ROUNDED
3301781522	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/74726517	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) J.H.Willis	Apalochlamys spectabilis		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.209508	146.866305	90.0						2020-12-17T12:07:00	17	12	2020	7995568	7995568	HUMAN_OBSERVATION	iNaturalist	Observations	74726517		Jenny Lawrence	2021-04-21T11:53:28	CC_BY_NC_4_0	Jenny Lawrence	Jenny Lawrence			2021-11-17T23:22:22.675Z	StillImage	COORDINATE_ROUNDED
3130993651	37beb6ea-e591-41e3-b781-e384250dc42c	bf09d478-9b3e-4690-a651-314957a67d5b	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) Steud.	Apalochlamys spectabilis	(Labill.) Steud.	AU	Withheld	Victoria	PRESENT		a4ee8241-94f8-40b8-8c47-31aaf9430c90	-38.10833	141.075	500.0						1980-01-01T00:00:00			1980	3104065	7995568	HUMAN_OBSERVATION			2220046				CC_BY_NC_4_0		Withheld			2021-10-17T11:05:54.581Z		COORDINATE_ROUNDED
3130892678	37beb6ea-e591-41e3-b781-e384250dc42c	94aa3364-beb8-4100-a880-6cf06e8b7310	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Apalochlamys	Apalochlamys spectabilis		SPECIES	Apalochlamys spectabilis (Labill.) Steud.	Apalochlamys spectabilis	(Labill.) Steud.	AU	717948ACentre about 1 km S of PORTLAND	Victoria	PRESENT	1	a4ee8241-94f8-40b8-8c47-31aaf9430c90	-38.34854	141.60138	4000.0						1898-12-01T00:00:00	1	12	1898	3104065	7995568	PRESERVED_SPECIMEN			225179				CC_BY_NC_4_0					2021-10-17T11:05:52.710Z		COORDINATE_ROUNDED
