gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3361283413	4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4	69994c7f-4df4-4c5f-bbad-b71f8d10a3a5	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Yakirra australiensis (Domin) Lazarides & R.D.Webster	Yakirra australiensis var. australiensis		AU	63 km W of Kiwirrkurra.	Western Australia	PRESENT		1deb09e1-ded6-469a-a46e-f6329cb03b6a	-22.739167	127.158333	10000.0	2.777778E-4					2016-06-02T00:00:00	2	6	2016	4143424	4143424	PRESERVED_SPECIMEN	MEL	MEL	MEL 2479272A	30566			CC_BY_4_0	Royal Botanic Gardens Board	Latz, P.			2021-11-11T12:35:09.373Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3357286642	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3eaeee374-bbde-481b-96f2-e635f6f3547a	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Panicum australiense Domin	Panicum australiense	Domin	AU	Uluru (Ayers Rock-Mt Olga) National Park: (Ayers Rock), on the ring road, 5 km NNE of Ranger Station.		PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	-25.33	131.03							1988-08-21T00:00:00	21	8	1988	4104600	4143424	PRESERVED_SPECIMEN	US	urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8	US 3465373	576			CC0_1_0		M. Lazarides & J. Palmer			2021-11-05T15:41:31.094Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
3350655599	d8cd16ba-bb74-4420-821e-083f2bac17c2	KP878976	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Panicum australiense Domin	Panicum australiense var. australiense		AU	Western Australia, Fitzgerald district		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2004-04-27T00:00:00	27	4	2004	4104600	4143424	PRESERVED_SPECIMEN			S. Legge & S. Murphy 22		C. Silva		CC_BY_4_0					2021-09-23T14:12:40.854Z		TAXON_MATCH_HIGHERRANK
3350596159	d8cd16ba-bb74-4420-821e-083f2bac17c2	KP879093	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Panicum australiense Domin	Panicum australiense var. intermedium		AU	Western Australia, Moorak		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1988-04-04T00:00:00	4	4	1988	4104600	4143424	PRESERVED_SPECIMEN			K.F. Kenneally 10619		C. Silva		CC_BY_4_0					2021-09-23T14:12:41.423Z		TAXON_MATCH_HIGHERRANK
3350354617	d8cd16ba-bb74-4420-821e-083f2bac17c2	KF938888	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Panicum australiense Domin	Panicum australiense					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													4104600	4143424	PRESERVED_SPECIMEN			Latz 12164				CC_BY_4_0					2021-09-23T14:12:38.447Z		
3346624660	d8cd16ba-bb74-4420-821e-083f2bac17c2	HE573451	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Panicum australiense Domin	Panicum australiense					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													4104600	4143424	PRESERVED_SPECIMEN			G:M. Lazarides & J. Palmer 576				CC_BY_4_0					2021-09-23T14:11:19.550Z		
3128855345	07a54454-87c7-4e1e-b2ba-88a9d98d534b	0c3e8cab-2dbd-4142-a9cc-439f704d46ae	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Yakirra australiensis (Domin) Lazarides & R.D.Webster	Yakirra australiensis	(Domin) Lazarides & R.D.Webster	AU	Royal Botanic Gardens, Sydney.	New South Wales	PRESENT		0cbfea81-f7f6-43a7-a5bc-9b38898b505d	-33.87	151.22	5000.0						1972-04-11T00:00:00	11	4	1972	4143424	4143424	PRESERVED_SPECIMEN	NSW	NSW	NSW542748	249			CC_BY_4_0		Jacobs, S.W.L.		MANAGED	2021-10-01T18:44:17.189Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3128785314	270c3da6-45ad-4272-804b-33ac7ee33421	db015805-bebd-4236-9067-2595d1b86a87	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Yakirra australiensis (Domin) Lazarides & R.D.Webster	Yakirra australiensis var. australiensis		AU	Cape Lambert, Pilbara, WA.	Western Australia	PRESENT		cc338b0f-4582-4873-8a4c-aa5c400ed0bb	-20.629722	117.161667	10.0						2008-05-18T00:00:00	18	5	2008	4143424	4143424	PRESERVED_SPECIMEN	DNA	DNA	DNA D0286377	LCH 14514			CC_BY_4_0	Northern Territory Government	Hughes, H.		NATIVE	2021-10-01T18:56:59.051Z		COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3107463514	5a3b50fa-c882-4129-9405-38e54c0a73f3	e2fcaf8e-2c0d-4bc2-85ea-e232e515cc09	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Yakirra australiensis (Domin) Lazarides & R.D.Webster	Yakirra australiensis	(Domin) Lazarides & R.D.Webster	AU	12 km S of Old Cherrabun Homestead	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-18.896389	125.685556	3000.0						1972-04-18T00:00:00	18	4	1972	4143424	4143424	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 9270558	4727	J. Percy-Bower	2021-05-11T00:00:00	CC_BY_4_0		Aplin, T.E.H.			2021-10-16T13:05:25.484Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
3107458535	5a3b50fa-c882-4129-9405-38e54c0a73f3	fa635fa6-27e4-4de4-85a9-87ff8c2c0c63	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Yakirra	Yakirra australiensis		SPECIES	Yakirra australiensis (Domin) Lazarides & R.D.Webster	Yakirra australiensis	(Domin) Lazarides & R.D.Webster	AU	12 km S of Old Cherrabun Homestead	Western Australia	PRESENT		e6e855d7-9775-400f-883b-c4e04e517d79	-18.896389	125.685556	3000.0						1972-04-18T00:00:00	18	4	1972	4143424	4143424	PRESERVED_SPECIMEN	PERTH	PERTH	PERTH 9270566	4725	J. Percy-Bower	2021-05-11T00:00:00	CC_BY_4_0		Aplin, T.E.H.			2021-10-16T13:05:24.830Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
